Latitude (decimal degrees):	39.841
Longitude (decimal degrees):	3.046
Elevation (m):	44
Radiation database:	PVGIS-SARAH3


Slope: 90 deg. 
Azimuth: -121 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20220101:0010,0.0,0.0,9.84,1.52,0.0
20220101:0110,0.0,0.0,9.63,1.72,0.0
20220101:0210,0.0,0.0,9.53,2.0,0.0
20220101:0310,0.0,0.0,9.53,1.86,0.0
20220101:0410,0.0,0.0,9.49,1.72,0.0
20220101:0510,0.0,0.0,9.15,1.79,0.0
20220101:0610,0.0,0.0,9.44,1.86,0.0
20220101:0710,0.0,0.0,9.09,2.14,0.0
20220101:0810,83.9,8.76,9.84,2.14,0.0
20220101:0910,73.16,16.79,10.01,2.34,0.0
20220101:1010,72.05,22.88,11.94,2.97,0.0
20220101:1110,96.67,26.42,13.23,3.38,0.0
20220101:1210,101.69,26.99,14.0,3.59,0.0
20220101:1310,52.9,24.51,14.6,3.52,0.0
20220101:1410,62.47,19.29,15.08,3.38,0.0
20220101:1510,40.13,11.91,15.12,3.03,0.0
20220101:1610,6.38,2.93,13.83,2.62,0.0
20220101:1710,0.0,0.0,11.56,2.55,0.0
20220101:1810,0.0,0.0,10.82,2.69,0.0
20220101:1910,0.0,0.0,10.72,2.76,0.0
20220101:2010,0.0,0.0,10.32,2.69,0.0
20220101:2110,0.0,0.0,10.12,2.41,0.0
20220101:2210,0.0,0.0,10.24,2.41,0.0
20220101:2310,0.0,0.0,9.89,2.69,0.0
20220102:0010,0.0,0.0,9.89,2.41,0.0
20220102:0110,0.0,0.0,10.73,2.55,0.0
20220102:0210,0.0,0.0,10.6,2.0,0.0
20220102:0310,0.0,0.0,10.13,1.93,0.0
20220102:0410,0.0,0.0,9.98,1.93,0.0
20220102:0510,0.0,0.0,9.63,2.28,0.0
20220102:0610,0.0,0.0,9.83,2.55,0.0
20220102:0710,0.0,0.0,9.17,2.76,0.0
20220102:0810,65.14,8.76,10.19,3.31,0.0
20220102:0910,84.99,16.81,10.98,3.52,0.0
20220102:1010,81.17,22.92,12.06,3.59,0.0
20220102:1110,93.94,26.49,13.27,3.66,0.0
20220102:1210,102.15,27.09,13.79,3.59,0.0
20220102:1310,38.76,24.62,14.07,3.52,0.0
20220102:1410,41.95,19.41,14.66,3.1,0.0
20220102:1510,24.17,12.04,14.21,2.48,0.0
20220102:1610,7.3,3.07,13.14,1.45,0.0
20220102:1710,0.0,0.0,10.81,1.66,0.0
20220102:1810,0.0,0.0,10.0,1.59,0.0
20220102:1910,0.0,0.0,9.97,1.66,0.0
20220102:2010,0.0,0.0,9.52,1.38,0.0
20220102:2110,0.0,0.0,9.38,1.38,0.0
20220102:2210,0.0,0.0,9.13,2.0,0.0
20220102:2310,0.0,0.0,9.26,1.72,0.0
20220103:0010,0.0,0.0,9.47,1.03,0.0
20220103:0110,0.0,0.0,9.59,0.76,0.0
20220103:0210,0.0,0.0,9.42,1.1,0.0
20220103:0310,0.0,0.0,9.55,1.45,0.0
20220103:0410,0.0,0.0,9.24,1.79,0.0
20220103:0510,0.0,0.0,9.3,1.38,0.0
20220103:0610,0.0,0.0,9.82,1.24,0.0
20220103:0710,0.0,0.0,9.9,2.07,0.0
20220103:0810,31.42,8.77,10.33,2.55,0.0
20220103:0910,81.99,16.84,10.39,2.41,0.0
20220103:1010,72.96,22.97,11.61,3.1,0.0
20220103:1110,98.04,26.57,12.51,3.59,0.0
20220103:1210,48.34,27.19,13.4,3.52,0.0
20220103:1310,36.02,24.74,13.55,3.59,0.0
20220103:1410,59.28,19.54,13.74,3.45,0.0
20220103:1510,30.1,12.17,13.7,3.31,0.0
20220103:1610,7.3,3.2,13.34,3.03,0.0
20220103:1710,0.0,0.0,11.6,2.76,0.0
20220103:1810,0.0,0.0,11.71,2.76,0.0
20220103:1910,0.0,0.0,11.35,2.97,0.0
20220103:2010,0.0,0.0,10.86,3.1,0.0
20220103:2110,0.0,0.0,10.72,3.45,0.0
20220103:2210,0.0,0.0,10.97,3.79,0.0
20220103:2310,0.0,0.0,11.18,3.79,0.0
20220104:0010,0.0,0.0,11.2,3.66,0.0
20220104:0110,0.0,0.0,11.29,3.72,0.0
20220104:0210,0.0,0.0,11.44,3.66,0.0
20220104:0310,0.0,0.0,11.62,3.79,0.0
20220104:0410,0.0,0.0,11.63,3.93,0.0
20220104:0510,0.0,0.0,11.48,4.14,0.0
20220104:0610,0.0,0.0,12.12,4.21,0.0
20220104:0710,0.0,0.0,12.34,4.14,0.0
20220104:0810,204.99,8.78,13.46,4.34,0.0
20220104:0910,160.51,16.87,14.35,4.76,0.0
20220104:1010,38.76,23.03,16.63,4.14,0.0
20220104:1110,36.94,26.65,18.55,4.55,0.0
20220104:1210,42.86,27.3,19.28,4.83,0.0
20220104:1310,35.57,24.86,19.17,4.9,0.0
20220104:1410,35.11,19.68,19.24,4.83,0.0
20220104:1510,24.62,12.31,18.34,4.62,0.0
20220104:1610,7.3,3.35,16.54,4.14,0.0
20220104:1710,0.0,0.0,14.99,4.21,0.0
20220104:1810,0.0,0.0,13.95,4.55,0.0
20220104:1910,0.0,0.0,14.01,5.1,0.0
20220104:2010,0.0,0.0,13.61,5.38,0.0
20220104:2110,0.0,0.0,13.75,5.52,0.0
20220104:2210,0.0,0.0,13.68,5.45,0.0
20220104:2310,0.0,0.0,14.34,4.55,0.0
20220105:0010,0.0,0.0,14.24,4.14,0.0
20220105:0110,0.0,0.0,14.42,4.28,0.0
20220105:0210,0.0,0.0,14.19,4.28,0.0
20220105:0310,0.0,0.0,13.59,3.59,0.0
20220105:0410,0.0,0.0,12.87,1.79,0.0
20220105:0510,0.0,0.0,11.94,2.07,0.0
20220105:0610,0.0,0.0,11.82,2.28,0.0
20220105:0710,0.0,0.0,11.44,4.34,0.0
20220105:0810,36.01,8.8,10.9,7.72,0.0
20220105:0910,26.33,16.91,10.64,8.34,0.0
20220105:1010,46.06,23.09,10.43,6.14,0.0
20220105:1110,73.87,26.75,10.45,6.07,0.0
20220105:1210,102.15,27.41,10.53,4.97,0.0
20220105:1310,77.06,24.99,10.6,2.97,0.0
20220105:1410,37.39,19.82,10.35,3.17,0.0
20220105:1510,38.76,12.46,10.53,2.28,0.0
20220105:1610,1.37,3.49,10.55,2.21,0.0
20220105:1710,0.0,0.0,10.21,3.59,0.0
20220105:1810,0.0,0.0,9.93,3.59,0.0
20220105:1910,0.0,0.0,9.79,1.79,0.0
20220105:2010,0.0,0.0,9.98,1.03,0.0
20220105:2110,0.0,0.0,8.15,1.59,0.0
20220105:2210,0.0,0.0,8.82,0.55,0.0
20220105:2310,0.0,0.0,7.63,0.83,0.0
20220106:0010,0.0,0.0,6.95,1.38,0.0
20220106:0110,0.0,0.0,7.43,1.52,0.0
20220106:0210,0.0,0.0,8.03,2.34,0.0
20220106:0310,0.0,0.0,7.27,2.48,0.0
20220106:0410,0.0,0.0,6.14,2.48,0.0
20220106:0510,0.0,0.0,5.3,2.48,0.0
20220106:0610,0.0,0.0,5.31,2.83,0.0
20220106:0710,0.0,0.0,5.49,2.76,0.0
20220106:0810,224.15,8.83,5.56,2.28,0.0
20220106:0910,144.82,16.96,8.55,2.28,0.0
20220106:1010,36.94,23.17,10.68,3.45,0.0
20220106:1110,47.88,26.84,11.71,2.21,0.0
20220106:1210,48.34,27.53,12.52,1.72,0.0
20220106:1310,40.13,25.13,12.43,2.83,0.0
20220106:1410,46.97,19.97,11.77,4.0,0.0
20220106:1510,25.99,12.61,11.26,3.86,0.0
20220106:1610,7.75,3.65,10.49,3.66,0.0
20220106:1710,0.0,0.0,9.02,2.9,0.0
20220106:1810,0.0,0.0,8.27,3.24,0.0
20220106:1910,0.0,0.0,7.33,3.52,0.0
20220106:2010,0.0,0.0,6.53,3.52,0.0
20220106:2110,0.0,0.0,6.35,3.52,0.0
20220106:2210,0.0,0.0,6.23,4.0,0.0
20220106:2310,0.0,0.0,5.64,3.86,0.0
20220107:0010,0.0,0.0,5.25,4.0,0.0
20220107:0110,0.0,0.0,5.1,3.86,0.0
20220107:0210,0.0,0.0,4.95,3.79,0.0
20220107:0310,0.0,0.0,4.89,3.59,0.0
20220107:0410,0.0,0.0,5.11,3.24,0.0
20220107:0510,0.0,0.0,4.95,2.62,0.0
20220107:0610,0.0,0.0,4.87,2.14,0.0
20220107:0710,0.0,0.0,4.6,1.79,0.0
20220107:0810,167.7,8.86,5.29,1.72,0.0
20220107:0910,170.04,17.02,7.29,1.59,0.0
20220107:1010,30.55,23.25,9.79,2.48,0.0
20220107:1110,38.76,26.95,11.78,3.31,0.0
