Latitude (decimal degrees): 39.864
Longitude (decimal degrees): 3.024
Elevation (m): 41.0
Irradiance Time Offset (h): 0.0
month,year
1,2008
2,2017
3,2020
4,2018
5,2010
6,2017
7,2022
8,2020
9,2009
10,2009
11,2008
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080101:0000,6.98,87.78,0.0,-0.0,0.0,13.39,3.62,359.0,102490.0
20080101:0100,6.33,89.23,0.0,-0.0,0.0,14.57,3.21,338.0,102460.0
20080101:0200,5.68,90.69,0.0,-0.0,0.0,15.74,2.8,317.0,102420.0
20080101:0300,5.03,92.15,0.0,-0.0,0.0,16.92,2.4,297.0,102390.0
20080101:0400,4.37,93.61,0.0,-0.0,0.0,18.1,1.99,272.0,102340.0
20080101:0500,3.72,95.07,0.0,-0.0,0.0,19.28,1.59,254.0,102330.0
20080101:0600,3.07,96.52,0.0,-0.0,0.0,20.46,1.18,237.0,102320.0
20080101:0700,2.42,97.98,0.0,-0.0,0.0,21.63,0.77,225.0,102320.0
20080101:0800,4.66,95.75,165.8,897.83,53.0,2.3,2.34,222.0,102290.0
20080101:0900,6.51,82.6,305.8,883.22,69.45,4.8,2.69,221.0,102340.0
20080101:1000,11.06,61.85,401.45,860.78,79.3,4.6,3.59,223.0,102280.0
20080101:1100,12.01,57.65,449.1,831.91,84.45,6.55,4.28,225.0,102250.0
20080101:1200,13.01,55.75,437.4,774.93,84.45,2.9,4.55,229.0,102150.0
20080101:1300,13.64,58.0,366.25,672.71,80.7,2.9,4.83,233.0,102050.0
20080101:1400,13.9,60.2,242.65,488.79,72.8,5.2,5.1,236.0,101970.0
20080101:1500,14.01,62.55,110.5,281.39,45.85,4.6,4.69,236.0,101920.0
20080101:1600,13.06,67.05,5.55,0.0,5.55,6.55,3.52,228.0,101900.0
20080101:1700,10.4,77.15,0.0,-0.0,0.0,-5.8,3.03,221.0,101880.0
20080101:1800,10.12,79.95,0.0,-0.0,0.0,-8.9,3.03,219.0,101890.0
20080101:1900,11.35,77.2,0.0,-0.0,0.0,0.95,3.1,221.0,101900.0
20080101:2000,10.79,83.0,0.0,-0.0,0.0,12.35,3.1,222.0,101850.0
20080101:2100,10.24,82.95,0.0,-0.0,0.0,6.15,3.1,221.0,101840.0
20080101:2200,9.4,82.9,0.0,-0.0,0.0,0.35,3.17,217.0,101810.0
20080101:2300,9.65,85.95,0.0,-0.0,0.0,-10.6,3.24,220.0,101790.0
20080102:0000,9.85,89.15,0.0,-0.0,0.0,6.35,3.24,221.0,101740.0
20080102:0100,9.24,89.1,0.0,-0.0,0.0,274.9,3.24,219.0,101660.0
20080102:0200,9.05,89.1,0.0,-0.0,0.0,2.9,3.1,221.0,101660.0
20080102:0300,9.6,89.15,0.0,-0.0,0.0,5.8,3.03,221.0,101620.0
20080102:0400,9.72,89.15,0.0,-0.0,0.0,-4.45,3.03,222.0,101570.0
20080102:0500,10.01,82.95,0.0,-0.0,0.0,9.05,2.97,222.0,101540.0
20080102:0600,9.77,85.95,0.0,-0.0,0.0,-9.05,3.03,222.0,101520.0
20080102:0700,9.97,82.95,0.0,-0.0,0.0,-1.5,3.31,223.0,101520.0
20080102:0800,11.11,80.1,156.0,834.04,51.25,5.4,3.45,221.0,101510.0
20080102:0900,11.24,80.1,283.8,802.05,68.95,-7.15,3.59,218.0,101500.0
20080102:1000,12.49,69.45,391.85,839.58,77.1,-1.35,4.76,227.0,101450.0
20080102:1100,12.54,69.45,427.05,769.33,89.05,9.85,5.24,230.0,101370.0
20080102:1200,13.35,64.65,410.7,704.29,88.95,-7.35,5.59,231.0,101280.0
20080102:1300,13.26,67.05,334.4,601.37,78.1,6.35,5.52,231.0,101160.0
20080102:1400,13.23,69.55,232.8,410.74,89.25,3.65,5.38,231.0,101110.0
20080102:1500,12.9,69.45,84.35,89.03,63.7,4.6,5.03,234.0,101050.0
20080102:1600,12.36,71.95,5.45,0.0,5.45,19.35,4.76,242.0,101020.0
20080102:1700,11.75,77.3,0.0,-0.0,0.0,7.35,4.21,237.0,101020.0
20080102:1800,11.88,83.1,0.0,-0.0,0.0,9.85,3.86,234.0,100960.0
20080102:1900,12.23,83.15,0.0,-0.0,0.0,8.1,3.86,236.0,100960.0
20080102:2000,11.41,86.15,0.0,-0.0,0.0,3.85,3.79,233.0,100900.0
20080102:2100,10.85,89.25,0.0,-0.0,0.0,-6.95,3.17,225.0,100840.0
20080102:2200,11.54,86.15,0.0,-0.0,0.0,-0.35,2.83,218.0,100740.0
20080102:2300,11.48,86.15,0.0,-0.0,0.0,-22.05,2.9,231.0,100720.0
20080103:0000,11.36,89.3,0.0,-0.0,0.0,-4.8,3.17,245.0,100640.0
20080103:0100,11.38,89.3,0.0,-0.0,0.0,301.8,3.1,255.0,100600.0
20080103:0200,11.5,89.3,0.0,-0.0,0.0,7.15,2.83,261.0,100560.0
20080103:0300,11.44,86.15,0.0,-0.0,0.0,-20.3,2.69,259.0,100550.0
20080103:0400,11.16,89.3,0.0,-0.0,0.0,7.9,2.55,253.0,100530.0
20080103:0500,10.46,89.25,0.0,-0.0,0.0,0.75,2.41,237.0,100490.0
20080103:0600,9.53,89.15,0.0,-0.0,0.0,-2.5,2.48,218.0,100470.0
20080103:0700,9.15,89.1,0.0,-0.0,0.0,-15.25,2.34,211.0,100450.0
20080103:0800,10.08,86.0,153.95,783.08,55.55,9.85,2.69,211.0,100440.0
20080103:0900,11.83,83.1,272.9,749.63,71.8,0.35,3.03,206.0,100400.0
20080103:1000,14.18,74.95,357.2,695.61,95.9,-1.5,3.66,192.0,100380.0
20080103:1100,14.38,74.95,339.9,495.38,121.7,14.3,4.69,189.0,100320.0
20080103:1200,14.41,74.95,216.6,212.4,119.25,2.9,5.72,193.0,100210.0
20080103:1300,13.71,80.4,175.5,116.35,125.7,31.7,6.62,196.0,100060.0
20080103:1400,14.41,86.4,42.3,2.13,41.55,18.35,6.41,191.0,99980.0
20080103:1500,13.99,80.45,35.35,4.91,34.2,12.35,6.83,189.0,99870.0
20080103:1600,14.15,83.4,2.45,0.0,2.45,-9.65,7.52,193.0,99790.0
20080103:1700,13.82,89.45,0.0,-0.0,0.0,-4.6,7.31,204.0,99800.0
20080103:1800,14.21,89.5,0.0,-0.0,0.0,10.8,5.72,207.0,99770.0
20080103:1900,14.31,86.4,0.0,-0.0,0.0,-30.15,5.86,219.0,99840.0
20080103:2000,14.28,80.45,0.0,-0.0,0.0,-4.6,4.76,224.0,99890.0
20080103:2100,13.29,80.35,0.0,-0.0,0.0,3.45,3.59,218.0,99880.0
20080103:2200,12.06,80.2,0.0,-0.0,0.0,-9.65,2.28,206.0,99890.0
20080103:2300,11.88,83.1,0.0,-0.0,0.0,2.5,2.62,215.0,99980.0
20080104:0000,11.17,83.05,0.0,-0.0,0.0,-17.95,2.34,222.0,100000.0
20080104:0100,10.67,86.05,0.0,-0.0,0.0,301.6,2.34,225.0,100020.0
20080104:0200,10.27,89.2,0.0,-0.0,0.0,4.6,2.07,230.0,100030.0
20080104:0300,8.86,89.1,0.0,-0.0,0.0,-5.8,1.52,260.0,100080.0
20080104:0400,9.29,89.1,0.0,-0.0,0.0,-0.35,1.66,311.0,100110.0
20080104:0500,9.81,89.15,0.0,-0.0,0.0,19.5,2.14,342.0,100180.0
20080104:0600,9.04,92.45,0.0,-0.0,0.0,-14.3,1.93,351.0,100250.0
20080104:0700,8.65,95.85,0.0,-0.0,0.0,12.55,2.14,354.0,100350.0
20080104:0800,9.99,89.2,99.8,156.16,80.15,-2.5,1.72,346.0,100450.0
20080104:0900,11.03,86.1,173.45,221.01,114.05,-6.75,1.79,340.0,100540.0
20080104:1000,12.76,72.05,252.35,263.07,153.3,-4.8,2.62,329.0,100630.0
20080104:1100,13.01,69.55,293.25,239.18,187.6,2.5,3.31,331.0,100660.0
20080104:1200,12.66,72.05,295.45,190.35,207.9,0.15,3.79,327.0,100680.0
20080104:1300,12.81,72.05,240.05,140.25,179.75,13.15,4.0,326.0,100670.0
20080104:1400,12.74,72.05,151.45,112.5,111.65,-0.35,4.0,333.0,100730.0
20080104:1500,12.59,72.05,77.7,45.01,67.05,-4.6,4.28,342.0,100760.0
20080104:1600,12.53,72.05,6.8,0.0,6.8,-3.45,2.9,340.0,100840.0
20080104:1700,10.9,83.05,0.0,-0.0,0.0,-13.7,2.34,334.0,100920.0
20080104:1800,10.59,83.0,0.0,-0.0,0.0,1.35,2.34,322.0,101000.0
20080104:1900,9.84,89.15,0.0,-0.0,0.0,10.25,2.21,318.0,101110.0
20080104:2000,10.06,89.2,0.0,-0.0,0.0,3.65,2.28,312.0,101180.0
20080104:2100,10.08,89.2,0.0,-0.0,0.0,-6.0,2.62,316.0,101270.0
20080104:2200,11.16,86.1,0.0,-0.0,0.0,12.55,3.66,325.0,101300.0
20080104:2300,11.2,89.3,0.0,-0.0,0.0,13.7,4.55,328.0,101380.0
20080105:0000,11.62,86.15,0.0,-0.0,0.0,9.45,4.76,326.0,101430.0
20080105:0100,11.51,86.15,0.0,-0.0,0.0,334.9,4.48,328.0,101420.0
